City,Latitud,Longitud,Temperature,Humidity,Cloudiness,Wind Speed
Santiago del Estero,-27.8,-64.26,12.68,40,0,3.89
Te Anau,-45.42,167.72,9.08,87,88,0.54
Atagay,55.1,99.39,19.39,75,15,2.31
Nome,64.5,-165.41,13.17,87,75,3.1
Alice Springs,-23.7,133.88,14.0,28,0,6.7
Assaré,-6.87,-39.88,19.97,52,0,2.91
Rolla,37.95,-91.77,26.57,78,75,3.1
Niltepec,16.57,-94.62,27.43,76,44,2.46
Bojnourd,37.47,57.33,18.0,68,20,4.1
Wuwei,37.93,102.64,27.81,20,75,0.6
Malchevskaya,49.06,40.36,18.68,87,27,1.94
Riyadh,24.69,46.72,34.0,21,47,2.1
Port-Cartier,50.03,-66.87,16.08,100,75,4.1
Shenjiamen,29.96,122.3,27.84,87,100,6.14
Kutum,14.2,24.67,23.14,72,100,3.24
Hualmay,-11.1,-77.61,15.89,81,0,3.2
Meiktila,20.87,95.87,26.09,81,16,4.54
Wolsztyn,52.12,16.12,15.01,57,100,0.39
Auch,43.65,0.58,23.22,63,6,3.4
Karia,11.73,11.16,23.0,79,100,5.5
Ballina,-28.87,153.57,16.83,63,70,5.7
Pascagoula,30.37,-88.56,29.46,74,1,2.6
Wajid,3.81,43.25,23.2,78,0,7.48
Conde,-7.26,-34.91,21.0,100,90,4.6
Spas-Demensk,54.41,34.02,9.9,97,0,2.59
Zabaykal'sk,49.63,117.32,21.85,69,69,2.52
Banepā,27.63,85.52,21.0,100,75,1.5
Marana,32.44,-111.23,42.83,10,1,5.7
Vilyuysk,63.76,121.62,20.13,53,0,2.33
Quatre Cocos,-20.21,57.76,20.48,88,75,2.1
Bosansko Grahovo,44.18,16.36,18.89,73,0,1.34
Hay River,60.82,-115.8,23.0,49,40,1.5
Comodoro Rivadavia,-45.87,-67.5,4.0,86,100,2.1
Tortolì,39.93,9.66,29.0,54,5,4.1
Podosinovets,60.28,47.07,10.71,94,19,3.73
Cabedelo,-6.98,-34.83,21.0,100,90,4.6
Kochubey,44.39,46.58,20.54,51,0,2.78
Vanderhoof,54.02,-124.02,29.39,32,8,0.29
Havre-St-Pierre,50.23,-63.6,16.0,100,90,3.6
Barão de Melgaço,-16.19,-55.97,24.0,50,9,1.5
Maceió,-9.67,-35.74,21.0,94,75,3.1
